"Source:","/home/david/Documents/WaterChangeSystem/KiCADProjects/WaterChangeCircuits/WaterChangeCircuits.sch"
"Date:","Sat 29 May 2021 09:29:03 AM CDT"
"Tool:","Eeschema 5.1.10-88a1d61d58~88~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","120"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","J63","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J64","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J65","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J66","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J67","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J68","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J69","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J70","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J71","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J72","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J73","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J74","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","J75","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"","","U1","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U2","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U3","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U4","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U5","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U14","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U15","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U16","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U17","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U18","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U19","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U20","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U21","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U22","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U23","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U24","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U25","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U26","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U27","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
